Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL262777;CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O;0.06
CHEMBL20945;O=[N+]([O-])c1cccc(B(O)O)c1;5000.0
CHEMBL529;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;170.0
CHEMBL422131;CC(=O)Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1;100.0
CHEMBL64056;COC(=O)/C=C1/C(=O)N2C1S(=O)(=O)[C@@](C)(COC(C)=O)[C@@H]2C(=O)[O-].[Na+];2720.0
CHEMBL275681;O=C(OCCCCCCCCn1ccc2cc([N+](=O)[O-])ccc21)c1cccnc1;1000000.0
CHEMBL344447;Cc1c(N2CCCCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12;3.22
CHEMBL433166;CC(C)C[C@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](N)[C@@H](C)O)CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC1=O;15000.0
CHEMBL338009;CCCSC[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)C3[C@@H](O)C21;700.0
CHEMBL293013;CCc1ccc(Cc2cnc(N)nc2N)cc1CC;90.0
CHEMBL174629;O=C(O)c1ccc2c(c1)nc(-c1cccs1)n2C1CCCCC1;500000.0
CHEMBL267863;CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(N)cc4)nn3)[C@H]2S1(=O)=O;1400.0
CHEMBL87685;O=C(O)[C@H](S)Cc1ccccc1;690000.0
CHEMBL95777;Clc1cccc(-n2nc(C3CCNCC3)cc2/C=C/c2c[nH]c3ccc(Cl)cc23)c1;14.0
CHEMBL116346;NC(N)=NCCC[C@@H]1COc2ccc(NC(=O)c3ccc4nc(O)c(O)nc4c3)cc2C(=O)NC[C@H](N)C(=O)N[C@H](Cc2ccccc2)C(=O)N1;12000.0
CHEMBL73421;Cc1cc(O)c(C)c(O)c1C(=O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1;50000.0
CHEMBL32113;COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1;140.0
CHEMBL292147;COC(=O)/C=C1/C(=O)N2C1S(=O)(=O)[C@@](C)(CCl)[C@@H]2C(=O)[O-].[Na+];13910.0
CHEMBL55866;CNc1nc(N)nc(O)c1N=O;1600.0
CHEMBL321219;O=C(NO)[C@@H]1COC(c2ccccc2)=N1;360000.0
CHEMBL228596;CC(=O)NC[C@H]1CN(c2cc(F)c(N3CCC(C)(O)CC3)c(F)c2)C(=O)O1;34000.0
CHEMBL333078;C[C@]1(/C=C\C#N)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O;7500.0
CHEMBL22677;Cc1c(CSc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12;3.6
CHEMBL777;O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21;19.0
CHEMBL104527;CC(C)C[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC(=O)[C@H](NC(=O)[C@H](CCN)NC(=O)[C@@H](N)[C@@H](C)O)CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC1=O;8000.0
CHEMBL33711;COC(=O)c1cn(C[C@@]2(C)[C@H](C(=O)[O-])C3C(=O)CC3S2(=O)=O)nn1.[Na+];49.0
CHEMBL34259;CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1;6.0
